TERM,SubCategory,2025,2026,Total_2025_2026
anterior circulation lvo patients,Stroke & Brain Injury,1,0,1
anthranilic acid,Inflammation & Immunity,1,0,1
anti-inflammation neuroprotection,Inflammation & Immunity,0,1,1
anti-inflammatory cytokine level,Inflammation & Immunity,1,0,1
anti-inflammatory microglial marker arg1,Inflammation & Immunity,0,1,1
anti-inflammatory profile,Inflammation & Immunity,0,1,1
anti-obesity effects,Inflammation & Immunity,1,1,2
anticipating synergistic regulation,Inflammation & Immunity,1,0,1
anticoagulation,Stroke & Brain Injury,1,0,1
antioxidant-related proteins,Inflammation & Immunity,0,1,1
anxiety autism,Animal Models,1,0,1
aom mice,Animal Models,0,1,1
arachidonic acid metabolism,Inflammation & Immunity,1,0,1
arterial baroreceptors,Autonomic & Cardiovascular,1,0,1
arterial baroreflex sensitivity,Autonomic & Cardiovascular,0,1,1
arterial blood pressure,Autonomic & Cardiovascular,0,1,1
arterial vasomotion,Stroke & Brain Injury,1,0,1
arterial vasomotion event,Stroke & Brain Injury,1,0,1
astrocyte activation,Inflammation & Immunity,0,1,1
astrocyte dysfunction,Inflammation & Immunity,0,1,1
astrocyte gfap reactivity,Inflammation & Immunity,0,1,1
astrocytes,Inflammation & Immunity,0,1,1
asynchronous visuo-cardiac,Autonomic & Cardiovascular,1,0,1
atrial diameter,Autonomic & Cardiovascular,1,0,1
atrial fibrillation severity scale,Autonomic & Cardiovascular,1,0,1
autism model,Animal Models,1,0,1
autoimmune condition,Inflammation & Immunity,1,0,1
autonomic,Autonomic & Cardiovascular,1,1,2
autonomic biomarker,Inflammation & Immunity,0,1,1
autonomic biomarkers,Inflammation & Immunity,0,1,1
autonomic cardiac regulation,Autonomic & Cardiovascular,1,0,1
autonomic composite score,Autonomic & Cardiovascular,1,0,1
autonomic dysregulation,Autonomic & Cardiovascular,1,1,2
autonomic failure,Autonomic & Cardiovascular,1,0,1
autonomic feature,Autonomic & Cardiovascular,1,0,1
autonomic function symptom severity,Autonomic & Cardiovascular,0,1,1
autonomic homeostasis increases,Autonomic & Cardiovascular,1,0,1
autonomic imbalance,Autonomic & Cardiovascular,2,1,3
autonomic modalities,Autonomic & Cardiovascular,0,1,1
autonomic nervous system activation,Autonomic & Cardiovascular,1,0,1
autonomic nervous system disorders,Autonomic & Cardiovascular,1,0,1
autonomic nervous system functionality,Autonomic & Cardiovascular,1,0,1
autonomic neuroendocrine,Autonomic & Cardiovascular,0,1,1
autonomic outcomes,Autonomic & Cardiovascular,0,1,1
autonomic output,Autonomic & Cardiovascular,1,0,1
autonomic parameter,Autonomic & Cardiovascular,0,1,1
autonomic pathways modulation,Autonomic & Cardiovascular,1,0,1
autonomic recovery,Autonomic & Cardiovascular,0,1,1
autonomic stability,Autonomic & Cardiovascular,0,1,1
autonomic symptom burden,Autonomic & Cardiovascular,0,1,1
axonal remodeling,Stroke & Brain Injury,1,0,1
b expression,Inflammation & Immunity,1,0,1
backgroundendothelial dysfunction,Stroke & Brain Injury,1,0,1
backgroundintracerebral hemorrhage,Stroke & Brain Injury,1,0,1
backgroundnon-invasive neuromodulation presents,Cognitive Function,1,0,1
balancing duodenal immune response,Inflammation & Immunity,1,0,1
basal cortisol level,Inflammation & Immunity,1,0,1
baseline heart rate variability,Autonomic & Cardiovascular,1,0,1
basic protein,Inflammation & Immunity,1,0,1
bdnf concentrations,Inflammation & Immunity,0,1,1
bdnf expression level,Inflammation & Immunity,1,0,1
bdnf level,Inflammation & Immunity,1,1,2
bile acid metabolism,Inflammation & Immunity,1,0,1
biochemical outcomes,Inflammation & Immunity,0,1,1
biochemical sensors,Inflammation & Immunity,0,1,1
bioinformatic analysis,Inflammation & Immunity,1,0,1
biological stratification,Inflammation & Immunity,1,0,1
biomarker concentrations,Inflammation & Immunity,0,1,1
biomarker identification,Inflammation & Immunity,1,0,1
biomarker selection,Inflammation & Immunity,0,1,1
bl6 mice,Animal Models,0,1,1
blood lactate concentration,Inflammation & Immunity,0,1,1
blood oxygen level,Stroke & Brain Injury,1,0,1
blood oxygen levels-alongside,Stroke & Brain Injury,0,1,1
blood oxygenation,Stroke & Brain Injury,0,1,1
blood pressure and heart rate,Autonomic & Cardiovascular,1,0,1
blood pressure heart rate,Autonomic & Cardiovascular,0,1,1
blood pressure measure,Autonomic & Cardiovascular,1,0,1
blood pressure measurement,Autonomic & Cardiovascular,0,1,1
blood pressure regulation,Autonomic & Cardiovascular,0,1,1
blood pressure value,Autonomic & Cardiovascular,1,0,1
blood pressure variability,Autonomic & Cardiovascular,1,1,2
blood sampling,Stroke & Brain Injury,1,0,1
blood transfusions,Stroke & Brain Injury,1,0,1
bnp level,Inflammation & Immunity,0,1,1
body weight gain,Inflammation & Immunity,1,0,1
body weight gain body,Inflammation & Immunity,1,0,1
bp reductions,Autonomic & Cardiovascular,0,1,1
bradycardia hypotension,Autonomic & Cardiovascular,0,1,1
bradycardia hypotension infection,Autonomic & Cardiovascular,1,0,1
brain derived neurotrophic factor,Cognitive Function,1,0,1
brain injuries,Stroke & Brain Injury,1,1,2
brain nlrp3,Inflammation & Immunity,1,0,1
brain nlrp3 level,Inflammation & Immunity,1,0,1
brain-derived neurotrophic factor interleukin,Cognitive Function,0,1,1
brain-derived neurotrophic factor s100,Cognitive Function,0,1,1
branched-chain amino acid,Inflammation & Immunity,2,0,2
broad cardioprotection,Autonomic & Cardiovascular,0,1,1
brown adipose tissue,Inflammation & Immunity,1,0,1
butyrylcholinesterase level,Inflammation & Immunity,1,0,1
c male mice,Animal Models,1,0,1
c-c chemokine receptor type,Inflammation & Immunity,1,0,1
calcium-binding protein beta,Inflammation & Immunity,0,1,1
caloric load,Inflammation & Immunity,1,0,1
caloric value,Inflammation & Immunity,1,0,1
candidate biomarker,Inflammation & Immunity,1,1,2
capturing short-term glycemic fluctuations,Inflammation & Immunity,1,0,1
cardiac autonomic modulation inflammation,Autonomic & Cardiovascular,0,1,1
cardiac domain,Autonomic & Cardiovascular,1,0,1
cardiac fibrosis,Autonomic & Cardiovascular,1,0,1
cardiac output,Autonomic & Cardiovascular,2,0,2
cardiac remodeling,Autonomic & Cardiovascular,1,0,1
cardiac resident macrophages,Inflammation & Immunity,1,0,1
cardiac stress response,Autonomic & Cardiovascular,1,0,1
cardiac structure,Autonomic & Cardiovascular,0,1,1
cardiac variability,Autonomic & Cardiovascular,1,0,1
cardio-vagal baroreflex gain,Autonomic & Cardiovascular,1,0,1
cardiogenic shock,Autonomic & Cardiovascular,2,0,2
cardiological screening,Autonomic & Cardiovascular,1,0,1
cardiorespiratory fitness,Autonomic & Cardiovascular,1,0,1
cardiorespiratory measure,Autonomic & Cardiovascular,1,0,1
cardiovagal activity,Autonomic & Cardiovascular,2,0,2
cardiovascular autonomic neuropathy,Autonomic & Cardiovascular,1,0,1
cardiovascular conditioning,Autonomic & Cardiovascular,1,0,1
cardiovascular disorders,Autonomic & Cardiovascular,1,0,1
cardiovascular indices,Autonomic & Cardiovascular,1,0,1
catecholamine,Inflammation & Immunity,0,1,1
causing pain inflammation,Inflammation & Immunity,0,1,1
cell viability,Inflammation & Immunity,1,0,1
cellular immunity,Inflammation & Immunity,0,1,1
central blood pressures,Autonomic & Cardiovascular,0,1,1
cerebral arteries,Stroke & Brain Injury,1,0,1
cerebral edema,Stroke & Brain Injury,0,1,1
cerebral hemorrhage,Stroke & Brain Injury,0,1,1
cerebral oedema,Stroke & Brain Injury,0,1,1
cerebral oedema volume,Stroke & Brain Injury,0,1,1
cerebrospinal fluid influx,Stroke & Brain Injury,1,0,1
chemicals,Inflammation & Immunity,1,0,1
chemogenetic approach,Inflammation & Immunity,0,1,1
chemogenetic inhibition,Inflammation & Immunity,0,1,1
chemogenetic methodology,Inflammation & Immunity,1,0,1
chemogenetic ntsglp-1 activation ea,Inflammation & Immunity,0,1,1
chemogenetic technology,Inflammation & Immunity,1,0,1
cholinergic circuits,Inflammation & Immunity,1,0,1
cholinergic neural network,Inflammation & Immunity,1,0,1
cholinergic neurotransmission,Inflammation & Immunity,1,0,1
chronic heart failure,Autonomic & Cardiovascular,4,0,4
chronic stress,Autonomic & Cardiovascular,1,0,1
chronic stress condition,Autonomic & Cardiovascular,1,0,1
circulating biomarkers,Inflammation & Immunity,0,1,1
circulatory issues,Autonomic & Cardiovascular,1,0,1
cleaved caspase-3 hsc70,Inflammation & Immunity,1,0,1
closed-loop neurostimulation,Cognitive Function,1,0,1
coagulation pathways,Stroke & Brain Injury,1,0,1
coeruleus-induced modifications,Inflammation & Immunity,1,0,1
collagen reaction,Inflammation & Immunity,0,1,1
combining animal model,Animal Models,1,0,1
combining middle cerebral artery occlusion,Stroke & Brain Injury,0,1,1
common metabolic disorder,Inflammation & Immunity,1,0,1
composite autonimic symptom score,Autonomic & Cardiovascular,0,1,1
composite autonomic symptom score-31,Autonomic & Cardiovascular,0,1,1
compromising long-term glycaemic control,Inflammation & Immunity,0,1,1
consistent immunomodulatory effects,Inflammation & Immunity,0,1,1
continuous glucose monitoring,Inflammation & Immunity,4,0,4
contrast heart rate variability,Autonomic & Cardiovascular,0,1,1
control rats,Animal Models,1,0,1
controlling blood pressure,Autonomic & Cardiovascular,1,0,1
coordinating tumor-necrosis factor,Inflammation & Immunity,1,0,1
core pathway,Inflammation & Immunity,1,0,1
cortisol concentrations,Inflammation & Immunity,1,0,1
cortisol level,Inflammation & Immunity,0,1,1
cortisol reduction,Inflammation & Immunity,1,0,1
crf,Inflammation & Immunity,0,1,1
crf expression,Inflammation & Immunity,0,1,1
crf1r aligning,Inflammation & Immunity,0,1,1
crf1r expression,Inflammation & Immunity,0,1,1
crf1r pathway,Inflammation & Immunity,0,1,1
crf1r signaling pathway,Inflammation & Immunity,0,1,1
crf2r expression,Inflammation & Immunity,0,1,1
cums rats,Animal Models,1,0,1
cums treatment,Animal Models,1,0,1
cumulative exposure,Animal Models,1,0,1
cytokine dysregulation,Inflammation & Immunity,1,0,1
cytokine level,Inflammation & Immunity,1,1,2
d-aspartate type subunit,Inflammation & Immunity,0,1,1
d-dimer fibrinogen procalcitonin,Inflammation & Immunity,1,0,1
d-lactate dao bile acids,Inflammation & Immunity,0,1,1
daytime ambulatory bp monitoring,Autonomic & Cardiovascular,0,1,1
daytime diastolic bp,Autonomic & Cardiovascular,0,1,1
dbp bp variability heart,Autonomic & Cardiovascular,0,1,1
deleterious inflammatory response,Inflammation & Immunity,1,0,1
dependent pathway,Inflammation & Immunity,1,0,1
detailed autonomic functional assessment,Autonomic & Cardiovascular,0,1,1
dextran sodium sulfate,Inflammation & Immunity,0,1,1
dextran sulfate sodium,Inflammation & Immunity,0,1,1
diabetes blood glucose,Inflammation & Immunity,1,0,1
diabetes care,Inflammation & Immunity,1,0,1
diastolic dysfunction,Autonomic & Cardiovascular,1,0,1
diet-induced obesity,Inflammation & Immunity,0,1,1
differential metabolites,Inflammation & Immunity,1,0,1
digital pressure algometer,Autonomic & Cardiovascular,1,0,1
distension pressures,Autonomic & Cardiovascular,0,1,1
dopamine synthesis,Inflammation & Immunity,1,0,1
dopaminergic neurotransmission,Inflammation & Immunity,1,0,1
downregulating branched-chain alpha-ketoacid dehydrogenase kinase,Inflammation & Immunity,1,0,1
downstream cytokine expression,Inflammation & Immunity,0,1,1
downstream effects,Inflammation & Immunity,0,1,1
downstream inflammatory factor,Inflammation & Immunity,0,1,1
driven autoregressive method,Autonomic & Cardiovascular,1,0,1
driving long-lasting neural plasticity,Stroke & Brain Injury,1,0,1
driving sphingolipid metabolic dysregulation,Inflammation & Immunity,1,0,1
drn-serotonergic system,Inflammation & Immunity,1,0,1
drug-refractory paroxysmal sympathetic hyperactivity,Autonomic & Cardiovascular,0,1,1
dss exposure,Animal Models,0,1,1
dysbalance,Autonomic & Cardiovascular,0,1,1
early-stage coagulation disorder,Stroke & Brain Injury,1,0,1
ecg arterial pressure,Autonomic & Cardiovascular,0,1,1
effective neuromodulation method,Cognitive Function,0,1,1
effective non-invasive neuromodulation strategy,Cognitive Function,1,0,1
effective transcutaneous neuromodulation,Cognitive Function,1,0,1
efficacy sensitivity biomarkers,Inflammation & Immunity,1,0,1
elevated bp,Autonomic & Cardiovascular,0,1,1
elevated serum level,Inflammation & Immunity,1,0,1
elisa method,Inflammation & Immunity,1,0,1
emerging neuromodulation technique,Cognitive Function,1,0,1
emerging non-invasive neuromodulation technique,Cognitive Function,1,0,1
endothelial dysfunction,Stroke & Brain Injury,1,0,1
endothelial dysfunction model,Stroke & Brain Injury,1,0,1
endothelial hyaluronan receptor,Stroke & Brain Injury,1,0,1
enhanced neuroplasticity markers,Stroke & Brain Injury,0,1,1
enhancing glycemic control,Inflammation & Immunity,1,0,1
enhancing neuroplasticity,Stroke & Brain Injury,0,1,1
epididymal white adipose tissue,Inflammation & Immunity,1,0,1
erythroid 2-related factor,Inflammation & Immunity,0,1,1
excessive central sympathetic activity,Autonomic & Cardiovascular,0,1,1
experimental rats,Animal Models,0,1,1
exploring brain-heart dynamics,Autonomic & Cardiovascular,1,0,1
exploring multiple antiinflammatory pathways,Inflammation & Immunity,1,0,1
exposed tarantula,Animal Models,1,0,1
exposure treatment,Animal Models,1,0,1
exposure-based treatment,Animal Models,1,0,1
expression promotion,Inflammation & Immunity,0,1,1
fasting blood glucose level,Inflammation & Immunity,1,0,1
fasting c-peptide fasting insulin homa-ir isi,Inflammation & Immunity,0,1,1
fat percentage,Inflammation & Immunity,1,0,1
fatty acids,Inflammation & Immunity,1,0,1
fd rats,Animal Models,0,1,1
fdg pet uptake,Animal Models,1,0,1
fear tachycardia,Autonomic & Cardiovascular,1,0,1
female sprague-dawley rats,Animal Models,1,0,1
female vpa-exposed mice,Animal Models,1,0,1
female wild-type groningen rats,Animal Models,1,0,1
fine-tuning regulation,Inflammation & Immunity,1,0,1
fingertip-based photoplethysmography,Autonomic & Cardiovascular,1,0,1
fingertip-based photoplethysmography sensors,Autonomic & Cardiovascular,1,0,1
first hepatic portal occlusion,Inflammation & Immunity,1,0,1
flow cytometry,Inflammation & Immunity,1,0,1
folate receptor,Inflammation & Immunity,1,0,1
following acute ischemic stroke,Stroke & Brain Injury,1,0,1
following hemorrhagic stroke,Stroke & Brain Injury,1,0,1
following intracerebral hemorrhage,Stroke & Brain Injury,1,1,2
following subarachnoid hemorrhage,Stroke & Brain Injury,1,0,1
following traumatic brain injury,Stroke & Brain Injury,0,1,1
food intake body weight,Inflammation & Immunity,1,0,1
forefinger photoplethysmographic,Autonomic & Cardiovascular,1,0,1
functional capacity serum,Inflammation & Immunity,0,1,1
future neuromodulation-based strategy,Cognitive Function,1,0,1
future rodent research,Animal Models,1,0,1
gadd45 beta,Inflammation & Immunity,0,2,2
gadd45 beta expression,Inflammation & Immunity,0,1,1
gadd45 beta pathway,Inflammation & Immunity,0,1,1
gfap iba1,Inflammation & Immunity,1,0,1
glial cells,Inflammation & Immunity,1,1,2
glial fibrillary acidic protein,Inflammation & Immunity,1,0,1
glp-1 5-ht il-6 il-10 tnf-alpha,Inflammation & Immunity,0,1,1
glp-1 neurons,Inflammation & Immunity,0,1,1
glp-1 receptor agonist,Inflammation & Immunity,1,0,1
glu content,Inflammation & Immunity,0,1,1
glu level,Inflammation & Immunity,0,1,1
glucagon-like peptide-1,Inflammation & Immunity,0,2,2
glucose regulation,Inflammation & Immunity,1,0,1
glucose variability,Inflammation & Immunity,2,0,2
glutamate ionotropic receptor,Inflammation & Immunity,0,1,1
glutamate level,Inflammation & Immunity,0,1,1
glutamatergic activity,Inflammation & Immunity,1,0,1
glutamatergic neurons,Inflammation & Immunity,0,1,1
glutamatergic pathways,Inflammation & Immunity,1,0,1
glutamatergic tans,Inflammation & Immunity,1,0,1
glutathione peroxidase,Inflammation & Immunity,0,1,1
glycaemic control,Inflammation & Immunity,0,1,1
glycemic control,Inflammation & Immunity,1,0,1
glycemic level,Inflammation & Immunity,1,0,1
glycyrrhizic acid,Inflammation & Immunity,0,1,1
golgi-cox staining,Inflammation & Immunity,0,1,1
groups blood pressure value,Autonomic & Cardiovascular,1,0,1
growth status,Inflammation & Immunity,0,1,1
haemoglobin change,Stroke & Brain Injury,0,1,1
healthy rat brain,Animal Models,1,0,1
healthy rats,Animal Models,1,0,1
heart failure with preserved ejection fraction,Autonomic & Cardiovascular,0,1,1
heart rate (hr),Autonomic & Cardiovascular,0,1,1
heart rate maximum,Autonomic & Cardiovascular,1,0,1
heart rate minimum,Autonomic & Cardiovascular,1,0,1
heart rate reactivity,Autonomic & Cardiovascular,1,0,1
heart rate variability indicators,Autonomic & Cardiovascular,1,0,1
heart rate variability indices,Autonomic & Cardiovascular,0,1,1
heart rate variability responses,Autonomic & Cardiovascular,1,0,1
heart rate variability safety,Autonomic & Cardiovascular,1,0,1
heart-brain neuromodulation,Cognitive Function,1,0,1
heart-brain remodeling,Autonomic & Cardiovascular,2,0,2
heart-cea connectivity,Autonomic & Cardiovascular,1,0,1
heart-cea remodeling,Autonomic & Cardiovascular,1,0,1
hematoxylin-eosin nissl,Inflammation & Immunity,0,1,1
hemodynamic activity,Autonomic & Cardiovascular,0,1,1
hemodynamic autonomic,Autonomic & Cardiovascular,0,1,1
hemodynamic engagement,Autonomic & Cardiovascular,0,1,1
hemodynamic instability,Autonomic & Cardiovascular,1,0,1
hemoglobin level,Stroke & Brain Injury,1,0,1
hepatoprotective effects,Inflammation & Immunity,1,0,1
heroin-induced microglial activation,Inflammation & Immunity,1,0,1
hfpef mice,Animal Models,1,0,1
hfpef-induced cardiac remodeling,Autonomic & Cardiovascular,0,1,1
high fat diet mice,Inflammation & Immunity,1,0,1
high frequency-heart rate variability,Autonomic & Cardiovascular,1,0,1
high glucose,Inflammation & Immunity,0,1,1
high il-6 level,Inflammation & Immunity,0,1,1
high interoceptive prediction error,Autonomic & Cardiovascular,1,0,1
high sympathetic activity,Autonomic & Cardiovascular,0,1,1
high-fat diet-induced obese rats,Inflammation & Immunity,1,0,1
histology immunofluorescence,Inflammation & Immunity,1,0,1
hmgb1 protein,Inflammation & Immunity,0,1,1
hmgb1-mediated inflammatory pathway,Inflammation & Immunity,0,1,1
hmgb1-related pathways,Inflammation & Immunity,0,1,1
ho-1 pathway,Inflammation & Immunity,0,1,1
hrv pulse rate,Autonomic & Cardiovascular,0,1,1
human oral-nasal tract,Autonomic & Cardiovascular,0,1,1
hyperacute stroke,Stroke & Brain Injury,1,0,1
hyperadrenergic postural orthostatic tachycardia syndrome,Autonomic & Cardiovascular,0,1,1
hypoxic stress,Inflammation & Immunity,1,0,1
iba1 level,Inflammation & Immunity,1,0,1
il-1 beta level,Inflammation & Immunity,1,0,1
il-1 beta tnf-alpha,Inflammation & Immunity,1,0,1
il-17 alpha,Inflammation & Immunity,1,0,1
il-1r c-reactive protein,Inflammation & Immunity,1,0,1
il-2 il-4 il-5 il-6 il-10 il-12p70 il-17a m-csf ifn-gamma,Inflammation & Immunity,0,1,1
il-4 il-6 tnf-alpha hs-crp tgf-beta,Inflammation & Immunity,1,0,1
il-6 il-1 beta,Inflammation & Immunity,1,0,1
il-6 tnf- alpha,Inflammation & Immunity,1,0,1
il-6/jak2/stat3 signaling pathway,Inflammation & Immunity,0,1,1
immune cell number,Inflammation & Immunity,1,0,1
immune dysregulation,Inflammation & Immunity,0,1,1
immune dysregulation neuroinflammation,Inflammation & Immunity,1,0,1
immune modulation,Inflammation & Immunity,0,1,1
immune-inflammatory responses,Inflammation & Immunity,0,2,2
immunofluorescence staining,Inflammation & Immunity,0,2,2
immunohistochemical analysis,Inflammation & Immunity,1,0,1
immunohistochemical method,Inflammation & Immunity,1,0,1
immunoinflammatory pathways,Inflammation & Immunity,0,1,1
immunopathological responses,Inflammation & Immunity,0,1,1
immunoreactivity percentages,Inflammation & Immunity,1,0,1
immunoregulatory role,Inflammation & Immunity,0,1,1
impaired cardiovagal modulation,Autonomic & Cardiovascular,0,1,1
impaired weight gain,Inflammation & Immunity,0,1,1
impairing glycaemic efficacy,Inflammation & Immunity,0,1,1
improving blood pressure,Autonomic & Cardiovascular,0,1,1
improving blood pressure control,Autonomic & Cardiovascular,0,1,1
improving coagulation dysfunction,Stroke & Brain Injury,1,0,1
improving endothelial function,Stroke & Brain Injury,1,0,1
improving inflammation,Inflammation & Immunity,1,0,1
in-vitro exposure,Animal Models,1,0,1
in-vivo exposures,Animal Models,1,0,1
increasing antiinflammatory markers,Inflammation & Immunity,1,0,1
increasing heart rate variability,Autonomic & Cardiovascular,1,0,1
increasing relaxation,Autonomic & Cardiovascular,1,0,1
indicating consistent cardiovascular effects,Autonomic & Cardiovascular,1,0,1
individual level,Inflammation & Immunity,1,0,1
induced central injury,Stroke & Brain Injury,0,1,1
induced mouse,Animal Models,1,0,1
induced mouse model,Animal Models,0,1,1
inducing expression,Inflammation & Immunity,1,0,1
inflamma-tion,Inflammation & Immunity,0,1,1
inflammation bile acid,Inflammation & Immunity,1,0,1
inflammation control,Inflammation & Immunity,0,1,1
inflammatory disease,Inflammation & Immunity,0,2,2
inflammatory gene,Inflammation & Immunity,0,1,1
inflammatory load,Inflammation & Immunity,0,1,1
inflammatory marker,Inflammation & Immunity,1,0,1
inflammatory markers plasma neurotransmitter level,Inflammation & Immunity,1,0,1
inflammatory mediators,Inflammation & Immunity,0,1,1
inflammatory pathways,Inflammation & Immunity,0,1,1
inflammatory reaction,Inflammation & Immunity,1,0,1
inflammatory state,Inflammation & Immunity,0,1,1
inflammatory system,Inflammation & Immunity,1,0,1
influencing inflammatory factor pathways,Inflammation & Immunity,1,0,1
inhibiting central immune inflammation,Inflammation & Immunity,0,1,1
inhibiting sphk-s1p pathway,Inflammation & Immunity,1,0,1
insulin sensitivity,Inflammation & Immunity,1,0,1
interleukin-6,Inflammation & Immunity,0,1,1
interleukin-6 angiopoietin-2 systemic immune-inflammation index,Inflammation & Immunity,1,0,1
interoceptive ability,Autonomic & Cardiovascular,1,0,1
interscapular brown adipose tissue,Inflammation & Immunity,1,0,1
intervertebral disk issues,Stroke & Brain Injury,1,0,1
intervertebral foramen,Stroke & Brain Injury,1,0,1
intracerebral hemorrhage,Stroke & Brain Injury,1,1,2
intravascular coagulation,Stroke & Brain Injury,1,0,1
invasive neuromodulation technique,Cognitive Function,1,0,1
involving different neurotransmitters,Cognitive Function,1,0,1
ipsilateral injured cortex,Stroke & Brain Injury,0,1,1
ischaemic stroke,Stroke & Brain Injury,2,0,2
ischemic reperfusion injury,Stroke & Brain Injury,0,1,1
jak2 signaling pathway,Inflammation & Immunity,1,0,1
ketamine,Inflammation & Immunity,1,0,1
key biomarker,Inflammation & Immunity,1,0,1
key biomarkers,Inflammation & Immunity,0,1,1
key executive function,Cognitive Function,1,0,1
key inflammatory biomarkers,Inflammation & Immunity,0,1,1
key signaling pathways,Inflammation & Immunity,0,1,1
key sphingolipid metabolic enzymes,Inflammation & Immunity,1,0,1
laboratory exposure,Animal Models,1,0,1
lactic acid duration,Inflammation & Immunity,1,0,1
large vessel occlusion,Stroke & Brain Injury,2,0,2
large vessel occlusion stroke,Stroke & Brain Injury,1,0,1
largests cardiovagal modulatory capacity,Autonomic & Cardiovascular,1,0,1
left ventricular ejection fraction,Autonomic & Cardiovascular,1,0,1
left ventricular systolic function reductions,Autonomic & Cardiovascular,0,1,1
leukin-1 interleukin-6 tumor necrosis factor-alpha,Inflammation & Immunity,1,0,1
life stress levels masseter,Autonomic & Cardiovascular,0,1,1
life-threatening cardiovascular emergency,Autonomic & Cardiovascular,1,0,1
limited regulatory effect,Inflammation & Immunity,1,0,1
lipid metabolism,Inflammation & Immunity,1,0,1
lipid metabolism dysregulation,Inflammation & Immunity,1,0,1
lipid spectrum,Inflammation & Immunity,1,0,1
lipidomic analysis,Inflammation & Immunity,1,0,1
liquid chromatography-mass spectrometry,Inflammation & Immunity,1,0,1
liver exhibit,Inflammation & Immunity,1,0,1
liver function,Inflammation & Immunity,1,0,1
living tarantula,Animal Models,1,0,1
locus coeruleus norepinephrine,Inflammation & Immunity,0,1,1
locus coeruleus-norepinephrine activity,Inflammation & Immunity,1,1,2
low-grade chronic inflammation,Inflammation & Immunity,1,0,1
low-grade peripheral inflammation,Inflammation & Immunity,1,0,1
low-levelstimulation,Inflammation & Immunity,1,0,1
lps-induced rats,Animal Models,1,0,1
lymphatic vessel,Stroke & Brain Injury,1,0,1
